Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Minuten,Tore,Vorlagen,Gelbe Karten,Rote Karten,Expected Goals,Expected Assists,Erfolgreiche Dribblings,Erfolgreiche Pässe,Potential,Größe,Gewicht,Starker Fuß,Beidfüßigkeit,Skill-Moves,Internationaler Ruf,Arbeitsrate,Schnelligkeit,Schießen,Passen,Dribbling,Verteidigung,Physis,xGoalDiff
18,Matteo Politano,Right Winger,24,22.0,Italy,Sassuolo,Serie A,Inter,Serie A,2812.0,10.0,4.0,1.0,0.0,9.4,6.9,146.0,102.0,83,171,67,Left,4,3,2,High/Medium,84.0,75.0,74.0,83.0,29.0,50.0,0.5999999999999996
18,Simone Zaza,Centre-Forward,27,22.0,Italy,Valencia,LaLiga,Torino,Serie A,2077.0,13.0,1.0,9.0,1.0,10.8,2.1,24.0,31.0,83,186,84,Left,3,4,2,High/High,79.0,81.0,62.0,77.0,50.0,86.0,2.1999999999999993
18,Dominic Solanke,Centre-Forward,21,10.0,England,Liverpool,Premier League,Bournemouth,Premier League,596.0,1.0,1.0,0.0,0.0,3.5,2.6,15.0,15.0,84,187,80,Right,3,3,1,High/Medium,69.0,68.0,61.0,72.0,24.0,62.0,-2.5
18,Lucas Digne,Left-Back,25,15.0,France,Barcelona,LaLiga,Everton,Premier League,704.0,0.0,2.0,2.0,0.0,0.3,1.8,22.0,36.0,83,178,74,Left,3,3,2,High/Medium,76.0,61.0,75.0,75.0,74.0,72.0,-0.3
18,Benjamin Henrichs,Right-Back,21,12.0,Germany,B. Leverkusen,Bundesliga,Monaco,Ligue 1,1268.0,0.0,1.0,1.0,1.0,0.8,1.3,41.0,71.0,84,183,79,Right,4,4,2,High/Medium,78.0,53.0,72.0,77.0,71.0,68.0,-0.8
18,Adama Traoré,Right Winger,22,8.0,Spain,Middlesbrough,Championship,Wolves,Premier League,2246.0,5.0,10.0,3.0,2.0,,,,,73,170,73,Left,2,3,1,High/Medium,87.0,44.0,65.0,70.0,67.0,74.0,
18,Terence Kongolo,Centre-Back,24,10.0,Netherlands,Monaco,Ligue 1,Huddersfield,Premier League,257.0,0.0,0.0,0.0,0.0,0.2,0.3,4.0,7.0,81,188,70,Left,4,3,2,Medium/High,71.0,43.0,64.0,67.0,79.0,75.0,-0.2
18,Kévin Gameiro,Centre-Forward,31,20.0,France,Atlético Madrid,LaLiga,Valencia,LaLiga,1125.0,7.0,2.0,0.0,0.0,6.1,1.5,26.0,16.0,81,172,70,Right,3,4,3,Medium/Medium,85.0,81.0,75.0,77.0,43.0,68.0,0.9000000000000004
18,Duván Zapata,Centre-Forward,27,20.0,Colombia,Sampdoria,Serie A,Atalanta BC,Serie A,2108.0,11.0,3.0,1.0,0.0,9.7,3.6,57.0,36.0,79,189,88,Right,4,3,2,Medium/Medium,72.0,78.0,52.0,72.0,37.0,78.0,1.3000000000000007
18,Mario Balotelli,Centre-Forward,28,20.0,Italy,OGC Nice,Ligue 1,Marseille,Ligue 1,2269.0,18.0,1.0,10.0,1.0,15.3,3.1,46.0,86.0,83,189,88,Right,4,4,4,Medium/Low,79.0,84.0,73.0,79.0,24.0,77.0,2.6999999999999993
