Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Ablöse
20,Bruno Jordão,Defensive Midfield,21,2.3,Portugal,Wolves,Premier League,Famalicão,Liga NOS,loan transfer
20,Adama Traoré,Attacking Midfield,25,2.4,Mali,Monaco,Ligue 1,Hatayspor,Süper Lig,?
20,Franco Jara,Centre-Forward,31,2.4,Argentina,Pachuca,Liga MX Apertura,Dallas,MLS,free transfer
20,Jürgen Damm,Right Winger,27,2.4,Mexico,Tigres UANL,Liga MX Apertura,Atlanta,MLS,free transfer
20,Jorge Cuenca,Centre-Back,20,2.3,Spain,Barcelona B,2ª B - Grupo III,Villarreal,LaLiga,€3.84m
20,Filip Krastev,Central Midfield,18,1.5,Bulgaria,Slavia Sofia,efbet Liga,Lommel SK,1B Pro League,€2.30m
20,Oleg Danchenko,Right-Back,26,2.3,Ukraine,Rubin Kazan,Premier Liga,AEK Athens,Super League 1,€1.00m
20,Leon Dajaku,Second Striker,19,2.3,Germany,FC Bayern II,3. Liga,Union Berlin,Bundesliga,loan transfer
20,Rekeem Harper,Central Midfield,20,2.3,England,West Brom,Premier League,Birmingham,Championship,loan transfer
20,Rodrigo Riquelme,Left Winger,20,2.3,Spain,Atlético Madrid,LaLiga,Bournemouth,Championship,loan transfer
20,Luke Bolton,Right-Back,20,2.3,England,Man City U23,Premier League 2,Dundee United,Premiership,loan transfer
20,Leonardo Gil,Central Midfield,29,2.3,Chile,Al-Ittihad,Saudi Pro League,Colo-Colo,Primera División,loan transfer
20,Jorge Cuenca,Centre-Back,20,2.3,Spain,Villarreal,LaLiga,UD Almería,2ª División,loan transfer
20,Fernando González,Defensive Midfield,26,2.3,Mexico,América,Liga MX Apertura,León,Liga MX Apertura,?
20,Lucas Ribeiro,Centre-Back,21,2.3,Brazil,TSG Hoffenheim,Bundesliga,Internacional,Série A,loan transfer
20,João Paulo,Central Midfield,29,2.0,Brazil,Botafogo,Série B,Seattle,MLS,€2.27m
20,Saleh Al-Shehri,Centre-Forward,26,9.5,Saudi Arabia,Al-Raed,Saudi Pro League,Al-Hilal,Saudi Pro League,€2.26m
20,Siqi Feng,Midfielder,21,0,China,HB FC Res.,Without Club,SZ FC Res.,China,€2.21m
20,Francesco Antonucci,Attacking Midfield,21,1.2,Belgium,Monaco B,National 2 - Grp. C,Feyenoord,Eredivisie,€2.20m
20,Jacob Brown,Centre-Forward,22,9.0,Scotland,Barnsley FC,Championship,Stoke City,Championship,€2.20m
20,Lyndon Dykes,Centre-Forward,24,4.75,Scotland,Livingston FC,Premiership,QPR,Championship,€2.20m
20,Kieran Dowell,Attacking Midfield,22,2.0,England,Everton,Premier League,Norwich,Championship,€2.20m
20,Ardian Ismajli,Centre-Back,23,9.5,Albania,Hajduk Split,SuperSport HNL,Spezia Calcio,Serie A,€2.20m
20,Fousseni Diabaté,Right Winger,24,2.2,Mali,Leicester,Premier League,Trabzonspor,Süper Lig,€1.57m
20,Thomas Didillon-Hödl,Goalkeeper,24,2.2,France,RSC Anderlecht,JPL,Cercle Brugge,JPL,€1.30m
20,Heri Tavares,Right Winger,23,2.2,Portugal,Benfica,Liga NOS,Stade Brestois,Ligue 1,€1.20m
20,Yuri Alberto,Centre-Forward,19,2.3,Brazil,Santos,Série A,Internacional,Série A,free transfer
20,Víctor Gómez,Right-Back,20,2.3,Spain,Espanyol,2ª División,CD Mirandés,2ª División,loan transfer
20,Deiber Caicedo,Left Winger,20,1.7,Colombia,Deportivo Cali,Liga DIMAYOR II,Vancouver,MLS,€2.27m
20,Sam Cosgrove,Centre-Forward,24,1.0,England,Aberdeen FC,Premiership,Birmingham,Championship,€2.25m
20,Koki Saito,Left Winger,19,6.25,Japan,Yokohama FC,J1 League,Lommel SK,1B Pro League,€2.21m
20,Marko Bulat,Attacking Midfield,19,1.5,Croatia,HNK Sibenik,SuperSport HNL,Dinamo Zagreb,SuperSport HNL,€2.20m
20,Kieffer Moore,Centre-Forward,28,2.0,Wales,Wigan,League One,Cardiff,Championship,€2.20m
20,Macauley Bonne,Centre-Forward,24,7.25,Zimbabwe,Charlton,League One,QPR,Championship,€2.20m
20,Levi García,Centre-Forward,22,1.8,Trinidad and Tobago,B. Jerusalem,Ligat ha'Al,AEK Athens,Super League 1,€2.20m
20,Artem Dovbyk,Centre-Forward,23,4.0,Ukraine,FC Midtjylland,Superliga,SC Dnipro-1,Premier Liga,€2.20m
